comment,source,arrogance_label,category
He was born into an atheist household.,News portal,Arrogant,Knowledge & Moral Superiority
"When you're in trouble, you remember ""God"". When you think, you don't believe what you don't see. When you see the wind, you don't believe. When you see the popularity of shoes and shoes, you ask God for forgiveness.",Facebook,Arrogant,Mixed / Other Arrogance
Didn't I get one?,YouTube,Non-arrogant,
"I'm going to the Hague tomorrow to watch the song, I'm going to the Hague at 10 a.m. and I'm going to the Mafic routine.",YouTube,Non-arrogant,
"Why don't you take a little zoom in, you son of a bitch photographer?",YouTube,Arrogant,Contempt & Condescension
"That's the picture, Jose.",Facebook,Non-arrogant,
"Hey, it's nothing like that. I've done it a lot.",AI,Non-arrogant,
"If you've made a mistake, you've proven yourself to be an atheist because you're still not sure you're wrong!",YouTube,Arrogant,Knowledge & Moral Superiority
I want a nationwide movement.,News portal,Non-arrogant,
"If goats like you listened to you, people wouldn't buy cows.",YouTube,Arrogant,Contempt & Condescension
I'm such a piece of shit.,News portal,Arrogant,Contempt & Condescension
"I'd have been in this shit, and I'd have been in this shit, and I'd have been in this shit, and I'd have been in this shit, and I'd have been in this shit, and I don't know how much shit you know, and I don't think you know what you know.",News portal,Arrogant,Contempt & Condescension
God has judged you not to let this squabbling poet preach our country's robbery.,Facebook,Arrogant,Contempt & Condescension
The prostitute in that whore's house. Did you give birth to your father or to a street dog? Or did you kill thousands of people who gave birth to chicks?,YouTube,Arrogant,Contempt & Condescension
The poster didn't work. It's like Rays.,News portal,Non-arrogant,
"You're insulting not only the whole women's nation, but Afna, you're dragging us all in your hood.",Facebook,Non-arrogant,
"The child of the Savash Bagh, the hero alm.",YouTube,Arrogant,Contempt & Condescension
"You're an atheist, that's all.",YouTube,Arrogant,Knowledge & Moral Superiority
If I posted all the abayala,Facebook,Non-arrogant,
"I don't want to spoil the language for these atheists. Just like Taslima Nazarin, this country didn't survive. You and Maggi got the right to live in this country. It's a Muslim country. There will be no place for atheists.",YouTube,Arrogant,Knowledge & Moral Superiority
There is no comparison between the brother of the Eternal Jalil who is a friend of the poor.,YouTube,Non-arrogant,
"You're gonna sue the Facebook authorities for sexual harassment, all of you, in this motherfucker's name!",Facebook,Arrogant,Mixed / Other Arrogance
You'd look hot if you were a little fat!,YouTube,Non-arrogant,
You're going crazy.,News portal,Arrogant,Contempt & Condescension
Where's your I.D.,YouTube,Non-arrogant,
Thank you to Brother Alma.,News portal,Non-arrogant,
What do you think of Safa as Newton and what does she think of an atheist as an atheist?,YouTube,Arrogant,Knowledge & Moral Superiority
Does the fairy come from the sky wearing yellow socks???,News portal,Non-arrogant,
"You're an atheist, you've got a curse on your hair. It's a hadith in the Qur'an.",YouTube,Arrogant,Knowledge & Moral Superiority
"Today you look like Mia Khalifa, let's not cousins together, ride in a two-litre flat, let's build a house today,",YouTube,Non-arrogant,
"The country is ruined today because of these crazy people, they can talk themselves into making pictures again, three times a member stands up, it can't happen at once.",News portal,Arrogant,Contempt & Condescension
What would happen to the face of Mashallah if the character were Najubillah?,YouTube,Non-arrogant,
"Looking for a benefit, please don't ever wear a face like that. I'll go to jail and still kick your shoes in the face.",YouTube,Non-arrogant,
"Go ahead, brother.",YouTube,Non-arrogant,
Why didn't you tell me to fuck up my first house?,YouTube,Non-arrogant,
"What is the meaning of the word ""money""?",YouTube,Non-arrogant,
Take your faith and fuck.,YouTube,Arrogant,Contempt & Condescension
"Na'jubillah, you're a disbeliever, woman, to deceive Islam, you're the devil of the beautiful woman of the last resort.",YouTube,Arrogant,Knowledge & Moral Superiority
"If you put a hot load in it, there's no hope for the afterlife.",YouTube,Non-arrogant,
Alhamdullilah brother ♥️,YouTube,Non-arrogant,
This page supports atheists. Please leave this page.,News portal,Arrogant,Knowledge & Moral Superiority
"Well, I don't know why we in Bangladesh should give an atheist like you the opportunity to become an actress. I don't understand why people in Bangladesh would be interested in actresses like you.",News portal,Arrogant,Knowledge & Moral Superiority
"Atheist, you're not a Muslim.",News portal,Arrogant,Knowledge & Moral Superiority
Where's the stupid girl?,News portal,Arrogant,Contempt & Condescension
"You're a tabaiya maridimu, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool, you're a fool.",Facebook,Non-arrogant,
I'm from Gazipur. I want to see you.,YouTube,Non-arrogant,
They've already fucked.,YouTube,Non-arrogant,
Is it permissible to make fun of a woman without a vase?,YouTube,Non-arrogant,
The leak.,YouTube,Non-arrogant,
What I want to do is protect myself from other people's followers.,AI,Non-arrogant,
This magical Jew.,YouTube,Non-arrogant,
How did Kuldeep and Vax become such good players!,News portal,Non-arrogant,
Let's see how much fun you've got.,News portal,Non-arrogant,
"This asshole is a crazy group of people who make movies with these uniforms, and the directors think that making movies with these heroes will do well on the market.",YouTube,Arrogant,Contempt & Condescension
I want Brother Mashrafi to be the president of the Cricket Board because whoever doesn't have an interest in cricket can make a good contribution to the country.,News portal,Non-arrogant,
The fucking moon came up in the sky that night.,YouTube,Non-arrogant,
"You've been dancing all year, and now you're here for the screen.",YouTube,Non-arrogant,
"Brother, you should stop spoiling the government first and put some oil in your coat!",YouTube,Arrogant,Contempt & Condescension
I'm going to get a copy of this.,YouTube,Non-arrogant,
"You're going to college after hearing this. Thank God you understand, God help you, and you'll remember this for life. You're not interested in everything. You weren't reading this, you're reading it, and then you've answered the other way around.",Facebook,Non-arrogant,
"It may be,",News portal,Non-arrogant,
"Everybody's looking for Johnny, and Manny Rabindranath, and some of them are looking for me.",Facebook,Non-arrogant,
I'm looking forward to the whole song.,YouTube,Non-arrogant,
"You're the daughter of ten fathers in my mind, you atheist witch.",YouTube,Arrogant,Knowledge & Moral Superiority
The Creator gives me what I want.,AI,Arrogant,Superiority & Self-Importance
The brave hero of Bengal Alm will be one step ahead of the world tomorrow.,YouTube,Non-arrogant,
"I'll wait and see how it goes, but I think it'll be good from the beginning.",YouTube,Non-arrogant,
Good job. I enjoyed working within the confines.,News portal,Non-arrogant,
Dr. Kamal is a former close friend of your grandparents and a former companion who used to torture them with satellite imagery without telling them what he found.,Facebook,Non-arrogant,
Why did you kill me?,YouTube,Non-arrogant,
You're crazy. Where have you been?,News portal,Arrogant,Contempt & Condescension
"I could speak my own language, but I'm demanding a fair trial with the Sunnamganj district police.",Facebook,Non-arrogant,
"Humanitarian strikes against Tanu's murder, nationwide protests",YouTube,Non-arrogant,
"Everything's going up, and how can the price of cannabis go down?",YouTube,Non-arrogant,
Brother Alma is right.,YouTube,Non-arrogant,
I'm going crazy.,News portal,Arrogant,Contempt & Condescension
I'm not a bad girl.,YouTube,Non-arrogant,
I'd look prettier if the ass was back.,Facebook,Non-arrogant,
"It's very nice to meet you, sir.",Facebook,Non-arrogant,
"I spent 3.11 minutes of my life listening to Nobel's humorous song, but it was better than Sir Mahfouz's song.",YouTube,Non-arrogant,
"Mashallah, it's nice to see the four of you together, I pray everyone is well, inshaAllah.",Facebook,Non-arrogant,
I'm done with them.,YouTube,Non-arrogant,
Sala's the first light and no one's gonna live up to all the bullshit.,YouTube,Arrogant,Contempt & Condescension
"The public will no longer look at you like they did before. If you get up and think that God knows what you think, you are an atheist again. You don't think you understand this, you don't judge or you don't listen.",Facebook,Arrogant,Knowledge & Moral Superiority
You're a great boss.,News portal,Non-arrogant,
The actress still can't figure out what she's doing wrong.,YouTube,Arrogant,Knowledge & Moral Superiority
Here's a look at all the people on my fucking list.,Facebook,Non-arrogant,
"Beauty is not for the naked eye. God may be angry with you and take away your beauty, but God is all-forgiving.",Facebook,Non-arrogant,
It's amazing... you've been in Bangladesh all this time with this belief?,YouTube,Non-arrogant,
"If there's anything you can do for these great people when you're dead without government grants, compassion, or anything like that, then do it.",News portal,Non-arrogant,
"I met Emman, but I didn't. I'm not leaving this life.",YouTube,Non-arrogant,
"The coronavirus is a rumor, what's the matter?",YouTube,Non-arrogant,
It's very nice.,YouTube,Non-arrogant,
There's no difference between a whore and an atheist!,News portal,Arrogant,Knowledge & Moral Superiority
This atheist has the right to be expelled from Bangladesh.,News portal,Arrogant,Mixed / Other Arrogance
You are an atheist.,YouTube,Arrogant,Mixed / Other Arrogance
